Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Collection
t-shirt-supporter-bresil-selecao-vintage,,,,,,,,L,NV-TSH-BRA-L,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-bresil-selecao-vintage,,,,,,,,XL,NV-TSH-BRA-XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
t-shirt-supporter-bresil-selecao-vintage,,,,,,,,2XL,NV-TSH-BRA-2XL,250,shopify,deny,manual,34.99,49.99,TRUE,TRUE,,,,,,
pack-famille-supporter-maroc-atlas-lions,"Pack Famille Supporter Maroc — Atlas Lions","<div class=""product-description""><h2>Toute la famille aux couleurs du Maroc</h2><p>Le football marocain, c'est une affaire de famille. Du grand-pere qui raconte les exploits au petit dernier qui porte deja les couleurs des Lions de l'Atlas — la passion se transmet de generation en generation. Ce pack celebre cette transmission avec <strong>4 t-shirts au meme design vintage varsity</strong>.</p><h3>Le pack contient</h3><ul><li><strong>1 T-shirt adulte unisex</strong> — Tailles S a 2XL</li><li><strong>1 T-shirt femme cintre</strong> — Tailles S a XL</li><li><strong>1 T-shirt enfant</strong> — Tailles 2 a 12 ans</li><li><strong>1 Body bebe</strong> — Tailles 0-3 mois a 18-24 mois</li></ul><h3>Economisez 28 EUR</h3><p>Achetes separement : 117,96 EUR. <strong>En pack famille : 89,99 EUR</strong>. La fierte n'a pas de prix — mais le porte-monnaie apprecie.</p><ul><li>Coton premium 180g/m2 sur chaque piece</li><li>Impression DTG haute definition</li><li>Production et livraison Europe 2-5 jours</li></ul><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,Pack Famille,"pack famille maroc, pack supporter maroc, t-shirt famille football, atlas lions, dima maghrib, cadeau famille foot, coupe du monde 2026, t-shirt famille assorti, fierte marocaine, cadeau supporter maroc, pack famille supporter, t-shirt enfant maroc, body bebe maroc",TRUE,Combinaison,Adulte S / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-MAR-SS,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,1,Pack Famille Supporter Maroc Atlas Lions Vintage,"Pack Famille Supporter Maroc — Atlas Lions | Nation Varsity","Pack 4 t-shirts famille supporter Maroc : adulte + femme + enfant + bebe. Design vintage varsity Atlas Lions. Economisez 28 EUR. Coupe du Monde 2026. Livraison Europe.","Maroc, Packs Famille, Coupe du Monde 2026"
pack-famille-supporter-maroc-atlas-lions,,,,,,,,Adulte M / Femme M / Enfant 6-7a / Bebe 6-12m,NV-PKF-MAR-MM,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-maroc-atlas-lions,,,,,,,,Adulte L / Femme L / Enfant 8-9a / Bebe 12-18m,NV-PKF-MAR-LL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-maroc-atlas-lions,,,,,,,,Adulte XL / Femme XL / Enfant 10-12a / Bebe 18-24m,NV-PKF-MAR-XL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-maroc-atlas-lions,,,,,,,,Adulte 2XL / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-MAR-CUSTOM1,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-algerie-fennecs,"Pack Famille Supporter Algerie — Fennecs","<div class=""product-description""><h2>La passion algerienne en version familiale</h2><p>Chez les supporters algeriens, le football est sacre — et c'est en famille qu'on le vit le mieux. Les soirees de match ou trois generations se retrouvent, les cris de joie, les debriefs passionnes. Ce pack familial habille toute la tribu aux couleurs des Fennecs.</p><h3>4 pieces, 1 seule equipe</h3><ul><li><strong>1 T-shirt adulte unisex</strong> — Tailles S a 2XL</li><li><strong>1 T-shirt femme cintre</strong> — Tailles S a XL</li><li><strong>1 T-shirt enfant</strong> — Tailles 2 a 12 ans</li><li><strong>1 Body bebe</strong> — Tailles 0-24 mois</li></ul><h3>Le calcul malin</h3><p>Prix separes : 117,96 EUR. <strong>Prix pack famille : 89,99 EUR.</strong> Tu economises 27,97 EUR.</p><ul><li>Coton premium 180g/m2</li><li>Impression DTG haute definition</li><li>Fabrique et livre en Europe, 2-5 jours</li></ul><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,Pack Famille,"pack famille algerie, pack supporter algerie, t-shirt famille football, fennecs, viva l'algerie, cadeau famille foot, coupe du monde 2026, t-shirt famille assorti, fierte algerienne, cadeau supporter algerie, pack famille supporter, t-shirt enfant algerie, body bebe algerie",TRUE,Combinaison,Adulte S / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-ALG-SS,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,1,Pack Famille Supporter Algerie Fennecs Vintage,"Pack Famille Supporter Algerie — Fennecs | Nation Varsity","Pack 4 t-shirts famille supporter Algerie : adulte + femme + enfant + bebe. Design vintage Fennecs. Economisez 28 EUR. Coupe du Monde 2026. Livraison Europe rapide.","Algerie, Packs Famille, Coupe du Monde 2026"
pack-famille-supporter-algerie-fennecs,,,,,,,,Adulte M / Femme M / Enfant 6-7a / Bebe 6-12m,NV-PKF-ALG-MM,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-algerie-fennecs,,,,,,,,Adulte L / Femme L / Enfant 8-9a / Bebe 12-18m,NV-PKF-ALG-LL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-algerie-fennecs,,,,,,,,Adulte XL / Femme XL / Enfant 10-12a / Bebe 18-24m,NV-PKF-ALG-XL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-algerie-fennecs,,,,,,,,Adulte 2XL / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-ALG-CUSTOM1,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-cote-divoire-elephants,"Pack Famille Supporter Cote d'Ivoire — Les Elephants","<div class=""product-description""><h2>La force des Elephants, la chaleur d'une famille</h2><p>En Cote d'Ivoire, on dit ""Akwaba"" — bienvenue. Et quand les Elephants entrent en jeu, c'est toute une nation qui accueille le monde dans la joie. Ce pack famille rassemble grands et petits sous la banniere des Elephants.</p><h3>Le pack complet</h3><ul><li><strong>1 T-shirt adulte unisex</strong> — Tailles S a 2XL</li><li><strong>1 T-shirt femme cintre</strong> — Tailles S a XL</li><li><strong>1 T-shirt enfant</strong> — Tailles 2-12 ans</li><li><strong>1 Body bebe</strong> — Tailles 0-24 mois</li></ul><h3>Champions en famille</h3><p>Apres le sacre CAN 2024, vivez la <strong>Coupe du Monde 2026</strong> en famille. <strong>89,99 EUR au lieu de 117,96 EUR</strong> — economie de 28 EUR.</p><ul><li>Coton premium 180g/m2</li><li>Impression DTG longue duree</li><li>Livre en Europe en 2-5 jours</li></ul><p><em>Design original independant, non affilie aux federations de football officielles.</em></p></div>",Nation Varsity,Pack Famille,"pack famille cote ivoire, pack supporter ivoire, t-shirt famille football, les elephants, akwaba football, cadeau famille foot, coupe du monde 2026, t-shirt famille assorti, civ football, cadeau supporter, pack famille supporter, t-shirt enfant ivoire, body bebe ivoire",TRUE,Combinaison,Adulte S / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-CIV-SS,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,1,Pack Famille Supporter Cote d'Ivoire Elephants Vintage,"Pack Famille Supporter Cote d'Ivoire — Elephants | Nation Varsity","Pack 4 t-shirts famille supporter Cote d'Ivoire : adulte + femme + enfant + bebe. Design vintage Elephants. Economisez 28 EUR. Mondial 2026. Livraison Europe.","Cote d'Ivoire, Packs Famille, Coupe du Monde 2026"
pack-famille-supporter-cote-divoire-elephants,,,,,,,,Adulte M / Femme M / Enfant 6-7a / Bebe 6-12m,NV-PKF-CIV-MM,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-cote-divoire-elephants,,,,,,,,Adulte L / Femme L / Enfant 8-9a / Bebe 12-18m,NV-PKF-CIV-LL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-cote-divoire-elephants,,,,,,,,Adulte XL / Femme XL / Enfant 10-12a / Bebe 18-24m,NV-PKF-CIV-XL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-cote-divoire-elephants,,,,,,,,Adulte 2XL / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-CIV-CUSTOM1,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-france-cocorico,"Pack Famille Supporter France — Cocorico","<div class=""product-description""><h2>Bleu Blanc Rouge en famille — la releve est assuree</h2><p>Il y a eu 1998 avec les parents. 2018 avec les enfants. Et bientot 2026 avec les petits-enfants. En France, la passion des Bleus se transmet comme un heritage. Ce pack familial habille toute la maison aux couleurs de l'equipe de France.</p><h3>Dans le pack</h3><ul><li><strong>1 T-shirt adulte unisex</strong> — Tailles S a 2XL</li><li><strong>1 T-shirt femme cintre</strong> — Tailles S a XL</li><li><strong>1 T-shirt enfant</strong> — Tailles 2-12 ans</li><li><strong>1 Body bebe</strong> — Tailles 0-24 mois</li></ul><h3>89,99 EUR au lieu de 117,96 EUR</h3><p>Economisez pres de 28 EUR avec le pack famille. Quatre pieces premium au prix de trois. Ideal pour la <strong>Coupe du Monde 2026</strong> en mode famille.</p><ul><li>Coton premium 180g/m2</li><li>Impression DTG haute definition</li><li>Production europeenne, livraison 2-5 jours</li></ul><p><em>Design original independant. Non affilie a la FFF.</em></p></div>",Nation Varsity,Pack Famille,"pack famille france, pack supporter france, t-shirt famille football, cocorico, bleu blanc rouge, cadeau famille foot, coupe du monde 2026, t-shirt famille assorti, les bleus supporter, cadeau supporter france, pack famille supporter, t-shirt enfant france, body bebe france",TRUE,Combinaison,Adulte S / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-FRA-SS,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,1,Pack Famille Supporter France Cocorico Vintage,"Pack Famille Supporter France — Cocorico | Nation Varsity","Pack 4 t-shirts famille supporter France : adulte + femme + enfant + bebe. Design vintage Cocorico tricolore. Economisez 28 EUR. Mondial 2026. Livraison Europe.","France, Packs Famille, Coupe du Monde 2026"
pack-famille-supporter-france-cocorico,,,,,,,,Adulte M / Femme M / Enfant 6-7a / Bebe 6-12m,NV-PKF-FRA-MM,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-france-cocorico,,,,,,,,Adulte L / Femme L / Enfant 8-9a / Bebe 12-18m,NV-PKF-FRA-LL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-france-cocorico,,,,,,,,Adulte XL / Femme XL / Enfant 10-12a / Bebe 18-24m,NV-PKF-FRA-XL,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
pack-famille-supporter-france-cocorico,,,,,,,,Adulte 2XL / Femme S / Enfant 4-5a / Bebe 0-3m,NV-PKF-FRA-CUSTOM1,900,shopify,deny,manual,89.99,117.96,TRUE,TRUE,,,,,,
